,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,OW,35,15,36,4,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,OW,41,2,41,43,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OW,46,54,47,51,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OW,52,54,53,43,1,,,6,5,1,,,,,,,,,,,,
7B,7/20/22,OW,58,45,60,5,1,,,14,13,1,,,,,,,,,,,,
7B,7/20/22,OWW,9,12,10,29,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,19,17,20,45,0,ran around excitedly but no clear waggle run,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,24,46,25,59,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,28,38,29,27,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,32,18,33,8,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,36,16,37,14,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,40,13,41,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,43,32,44,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,47,14,48,1,1,,,7,7,,,,,,,,,,,,,
7B,7/20/22,OWW,50,52,51,31,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,54,41,55,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OWW,58,31,59,11,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PBB,17,32,18,49,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PBB,22,55,23,53,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PBB,27,20,29,11,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PBB,33,18,34,57,1,,,26,9,1,16,,,,,,,,,,,
7B,7/20/22,PBB,38,39,40,30,1,,,21,2,10,9,,,,,,,,,,,
7B,7/20/22,PBB,44,5,45,37,1,,,28,3,5,2,10,8,,,,,,,,,
7B,7/20/22,PBB,49,4,50,5,1,,,5,5,,,,,,,,,,,,,
7B,7/20/22,PBB,53,21,54,46,1,second waggle run on glass,,2,1,1,,,,,,,,,,,,
7B,7/20/22,PBB,58,4,59,38,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PF,16,5,17,38,1,ambiguous but appeared to be one waggle run,,1,1,,,,,,,,,,,,,
7B,7/20/22,PF,33,18,34,9,1,very subtle waggles,,2,2,,,,,,,,,,,,,
7B,7/20/22,PF,38,44,39,49,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PF,44,4,45,13,1,,,11,11,,,,,,,,,,,,,
7B,7/20/22,PF,49,18,49,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PF,54,7,55,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PF,59,0,60,31,1,,,23,23,,,,,,,,,,,,,
7B,7/20/22,PG,5,35,8,0,1,messy dance (some extra waggling),,48,1,1,1,1,1,11,4,2,10,7,6,1,1,1
7B,7/20/22,PG,10,34,11,59,1,some extraneous waggling motions,3,19,12,2,3,2,,,,,,,,,,
7B,7/20/22,PG,16,26,17,32,1,,,14,14,,,,,,,,,,,,,
7B,7/20/22,PG,22,0,22,42,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PG,26,44,27,47,0,makes a few loops with waggling motions but no followers,,0,,,,,,,,,,,,,,
7B,7/20/22,PG,31,45,33,12,1,,,32,8,1,23,,,,,,,,,,,
7B,7/20/22,PG,37,26,38,22,1,,,11,11,,,,,,,,,,,,,
7B,7/20/22,PG,42,40,43,17,1,,,4,4,,,,,,,,,,,,,
7B,7/20/22,PG,47,19,48,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PG,51,56,52,55,1,,,14,14,,,,,,,,,,,,,
7B,7/20/22,PG,57,11,57,59,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PGG,7,48,10,0,1,"messy dance, many loops",1,20,3,4,3,3,7,,,,,,,,,
7B,7/20/22,PGG,27,7,27,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PGG,33,5,33,51,1,,,3,3,,,,,,,,,,,,,
7B,7/20/22,PGG,39,18,40,4,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PGG,45,28,46,52,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PGG,51,37,52,21,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PGG,57,54,58,41,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,PO,8,34,9,27,0,"somewhat ambiguous but I didn't see a clear waggle run, had called this bee WO but she is clearly PO",1,0,,,,,,,,,,,,,,
7B,7/20/22,PO,12,2,13,6,1,"had called this WO, but she is clearly PO",,2,1,1,,,,,,,,,,,,
7B,7/20/22,PO,19,29,20,33,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,27,11,27,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,31,6,32,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,38,36,39,49,0,sticks her head deep into cell for a moment before heading out,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,43,4,43,49,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,47,1,47,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,50,55,51,47,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO,58,41,59,19,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,19,16,20,37,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,32,18,33,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,36,15,37,50,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,40,58,42,11,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,45,10,45,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,49,18,50,14,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,53,32,54,31,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,57,25,58,10,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PO-a,14,26,15,19,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,14,12,15,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,19,9,20,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,24,28,25,33,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,30,3,31,8,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,35,27,36,50,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,40,53,41,58,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,46,47,47,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,52,53,53,38,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,POO,57,59,58,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PR,12,20,13,46,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PR,16,48,18,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PR,21,19,22,15,0,ambiguous loop on glass but wasn't clearly a waggle run,1,0,,,,,,,,,,,,,,
7B,7/20/22,PR,25,13,26,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PR,33,15,33,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PR,36,39,37,39,1,,,9,9,,,,,,,,,,,,,
7B,7/20/22,PR,41,4,42,18,1,I can't seem to find this bee to check whether she was PRR or WRR,,14,2,10,2,,,,,,,,,,,
7B,7/20/22,PR,45,45,46,42,1,,,3,3,,,,,,,,,,,,,
7B,7/20/22,PR,50,12,51,13,1,,,15,15,,,,,,,,,,,,,
7B,7/20/22,PR,54,5,55,11,1,,,19,6,13,,,,,,,,,,,,
7B,7/20/22,PR,58,2,59,17,1,,,20,1,19,,,,,,,,,,,,
7B,7/20/22,PRR,9,42,10,33,1,somewhat ambiguous but I think there was one clear waggle run,1,1,1,,,,,,,,,,,,,
7B,7/20/22,PRR,20,51,21,38,0,entered later after discovering that WRR and PRR were both present + comparing marks to guide,,0,,,,,,,,,,,,,,
7B,7/20/22,PRR,31,21,32,18,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PRR,36,53,37,32,0,,,0,,,,,,,,,,,,,,
