,,#NAME?,,,,Dances,222,40,,4459,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/18/22,GY,52,47,53,5,1,,,44,36,2,6,,,,,,,,,,,
7B,7/18/22,GY,56,2,58,2,1,,,37,32,2,3,,,,,,,,,,,
7B,7/18/22,OB,8,26,9,19,1,lots of running around but only 1 very clear waggle and one other movements that seems to be waggle run,3,2,2,,,,,,,,,,,,,
7B,7/18/22,OB,12,17,14,15,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,OB,22,27,23,28,1,,,3,3,,,,,,,,,,,,,
7B,7/18/22,OB,30,26,31,13,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OB,34,2,35,1,1,,,9,2,4,1,2,,,,,,,,,,
7B,7/18/22,OB,37,36,39,34,1,,,43,3,17,23,,,,,,,,,,,
7B,7/18/22,OB,42,40,43,45,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,OB,46,46,47,23,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OB,50,12,51,10,1,,,15,15,,,,,,,,,,,,,
7B,7/18/22,OB,53,57,56,13,1,,,50,22,2,9,12,5,,,,,,,,,
7B,7/18/22,OB,59,19,60,17,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,OP,32,4,32,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OP,36,2,36,57,1,,1,6,6,,,,,,,,,,,,,
7B,7/18/22,OP,39,44,40,49,1,,,13,12,1,,,,,,,,,,,,
7B,7/18/22,OP,44,4,44,45,0,OW has rounder orange dot,,0,,,,,,,,,,,,,,
7B,7/18/22,OP,47,54,48,41,1,,,6,6,,,,,,,,,,,,,
7B,7/18/22,OP,51,29,52,43,1,,,15,8,7,,,,,,,,,,,,
7B,7/18/22,OP,55,57,57,4,1,"she disappears below view of camera, cannot see her exit",,10,7,3,,,,,,,,,,,,
7B,7/18/22,OP-a,21,20,22,12,1,,1,1,1,,,,,,,,,,,,,
7B,7/18/22,OP-a,37,27,38,9,1,,,4,4,,,,,,,,,,,,,
7B,7/18/22,OP-a,40,52,41,17,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OP-a,44,5,44,45,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OP-a,47,34,48,52,1,,,24,24,,,,,,,,,,,,,
7B,7/18/22,OP-a,51,53,52,59,1,,,21,21,,,,,,,,,,,,,
7B,7/18/22,OP-a,55,43,57,3,1,,,24,4,20,,,,,,,,,,,,
7B,7/18/22,OP-a,59,59,60,51,1,,,11,11,,,,,,,,,,,,,
7B,7/18/22,OWW,30,52,31,55,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,34,49,35,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,38,21,39,10,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,42,25,43,25,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,46,6,46,52,0,Looks like OW-a but is OWW that lost one white mark,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,53,45,54,42,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,OWW,57,24,58,12,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PBB,32,12,34,29,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PBB,39,14,40,27,0,entered a wax cell for some time,,0,,,,,,,,,,,,,,
7B,7/18/22,PBB,44,15,47,27,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PBB,51,39,53,15,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PBB,57,7,58,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PF,30,9,30,58,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PF,34,17,35,4,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PF,37,55,39,3,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,PF,41,56,42,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PF,45,48,46,47,1,,,15,15,,,,,,,,,,,,,
7B,7/18/22,PF,49,30,50,27,1,,,12,12,,,,,,,,,,,,,
7B,7/18/22,PF,58,54,59,43,1,,,10,10,,,,,,,,,,,,,
7B,7/18/22,PF-big,6,38,7,34,1,starts off on glass so marks aren't visible,1,2,1,1,,,,,,,,,,,,
7B,7/18/22,PF-big,20,56,21,46,1,,,7,1,6,,,,,,,,,,,,
7B,7/18/22,PF-big,24,32,25,46,0,loops but no waggle runs,2,0,,,,,,,,,,,,,,
7B,7/18/22,PF-big,28,19,29,20,1,on glass at start,1,7,7,,,,,,,,,,,,,
7B,7/18/22,PF-big,32,34,33,33,0,,1,0,,,,,,,,,,,,,,
7B,7/18/22,PF-big,36,25,37,29,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PF-big,43,48,45,23,1,,,25,1,24,,,,,,,,,,,,
7B,7/18/22,PF-big,54,40,56,26,1,,,35,17,18,,,,,,,,,,,,
7B,7/18/22,PG,11,45,13,8,1,"waggle run slightly ambiguous, but I think it just just cut of by an unloader",1,1,1,,,,,,,,,,,,,
7B,7/18/22,PG,31,30,32,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PG,34,34,35,20,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PG,37,31,38,11,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PG,40,35,41,2,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PG,43,8,43,44,1,,,8,4,4,,,,,,,,,,,,
7B,7/18/22,PG,49,14,49,56,1,,,4,4,,,,,,,,,,,,,
7B,7/18/22,PG,52,21,53,5,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,PG,55,35,56,25,1,,,11,1,10,,,,,,,,,,,,
7B,7/18/22,PG,59,1,59,38,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PGG,11,13,12,54,1,,4,12,3,1,1,6,1,,,,,,,,,
7B,7/18/22,PGG,33,38,34,42,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PGG,37,30,38,20,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PGG,41,11,41,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PGG,44,50,45,24,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PGG,48,46,49,23,1,,,12,3,7,2,,,,,,,,,,,
7B,7/18/22,PGG,52,10,53,4,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,36,13,37,33,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,41,0,42,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,45,3,45,35,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,48,36,49,22,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,52,40,53,44,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,32,51,33,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,37,9,38,5,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,40,39,41,15,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,47,6,47,44,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,50,23,51,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,53,46,54,30,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO-a,57,27,58,17,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,32,1,32,53,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,35,32,36,9,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,38,48,39,25,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,41,53,42,32,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,45,1,45,25,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,48,6,48,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,51,18,51,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,POO,54,28,55,23,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,18,27,20,27,0,seemed excited but never waggled,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,34,8,34,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,37,21,38,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,43,49,45,22,1,,,26,2,24,,,,,,,,,,,,
7B,7/18/22,PR,47,31,48,23,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,50,48,51,55,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,54,40,55,31,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PR,59,7,60,9,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,12,31,13,30,0,runs around a lot but no clear waggle run,1,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,31,10,32,17,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,35,1,35,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,38,19,39,12,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,41,46,42,46,0,"picture not in list, will add screenshot to photo id- looks like WRR",,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,44,59,45,49,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,48,31,48,58,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,51,36,52,16,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,55,2,55,45,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PRR,58,12,58,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-u,41,59,42,41,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-u,9,32,11,26,1,several loops without waggles,6,14,3,2,1,8,,,,,,,,,,
7B,7/18/22,PY-u,14,28,15,34,1,on glass at start so marks not visible,1,1,1,,,,,,,,,,,,,
7B,7/18/22,PY-u,18,24,19,49,1,,,5,5,,,,,,,,,,,,,
7B,7/18/22,PY-u,22,41,24,17,1,,2,17,1,1,2,6,7,,,,,,,,,
7B,7/18/22,PY-u,26,49,28,47,1,some loops a little ambiguous,4,39,1,2,8,6,5,13,4,,,,,,,
7B,7/18/22,PY-u,31,22,32,17,1,a little bit ambiguous but 2 waggles in right direction with followers,,2,1,1,,,,,,,,,,,,
7B,7/18/22,PY-u,34,45,35,57,1,,,5,5,,,,,,,,,,,,,
7B,7/18/22,PY-u,38,43,39,41,0,put her head in a wax cell for a while,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-u,45,0,46,1,1,,,13,13,,,,,,,,,,,,,
7B,7/18/22,PY-u,48,29,49,20,1,,,7,7,,,,,,,,,,,,,
7B,7/18/22,PY-u,51,47,52,46,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,PY-u,59,7,59,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-v,35,2,35,59,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-v,47,6,48,4,0,,,0,,,,,,,,,,,,,,
