"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Bout_1","Bout_2","Bout_3","Bout_4","Bout_5","Bout_6","Bout_7","Bout_8","Bout_9","Bout_10","Bout_11","Bout_12","Bout_13","Bout_14","Decimal_entrance_time","Total_runs","Decimal_time","Duration","Scent","Site","Density","Flower_number"
"7B","7/19/22","WR.a_7B",49,36,1,26,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,35,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WR.a_7B",57,22,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3666666666667,8,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WRR_7B",34,39,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.65,13,4,56,"Peppermint","Northeast","High","High"
"7B","7/19/22","WRR_7B",38,13,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2166666666667,13,4,56,"Peppermint","Northeast","High","High"
"7B","7/19/22","WRR_7B",45,30,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,14,4,56,"Peppermint","Northeast","High","High"
"7B","7/19/22","WY_7B",39,54,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,2,6,54,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",30,39,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.65,6,5,55,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",34,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.25,1,5,55,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",37,54,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,10,5,55,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",47,51,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.85,32,5,55,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",52,53,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8833333333333,2,5,55,"Clove","South","High","Low"
"7B","7/19/22","WY.a_7B",57,26,1,13,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4333333333333,26,5,55,"Clove","South","High","Low"
"7B","7/19/22","YB_7B",21,14,1,11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2333333333333,22,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",25,21,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.35,19,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",29,41,1,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6833333333333,25,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",34,26,1,6,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4333333333333,35,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",41,37,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6166666666667,8,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",49,41,1,2,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6833333333333,19,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YB_7B",57,49,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8166666666667,17,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YO.a_7B",8,8,1,1,3,3,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8.13333333333333,18,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",12,50,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,12.8333333333333,10,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",32,40,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6666666666667,1,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",37,25,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4166666666667,10,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",42,25,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4166666666667,25,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",47,41,1,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6833333333333,22,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",51,29,1,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4833333333333,12,6,54,"Clove","South","High","Low"
"7B","7/19/22","YO.a_7B",59,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,1,6,54,"Clove","South","High","Low"
"7B","7/19/22","YP.a_7B",32,6,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,13,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",36,26,1,1,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4333333333333,19,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",40,24,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,27,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",44,39,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65,34,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",48,35,1,2,34,4,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5833333333333,56,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",54,25,1,9,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4166666666667,42,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YP.a_7B",59,36,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,44,3,57,"Peppermint","Northeast","High","High"
"7B","7/19/22","YPY_7B",33,28,1,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4666666666667,10,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YPY_7B",39,53,1,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8833333333333,20,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","YPY_7B",53,21,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.35,26,2,58,"Peppermint","Northeast","High","High"
