"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/20/22","POO_7B",40,53,0,40.8833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",46,47,0,46.7833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",52,53,0,52.8833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",57,59,0,57.9833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","PR_7B",12,20,0,12.3333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",16,48,0,16.8,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",21,19,0,21.3166666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",25,13,0,25.2166666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",33,15,0,33.25,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",36,39,1,36.65,9,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",41,4,1,41.0666666666667,14,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",45,45,1,45.75,3,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",50,12,1,50.2,15,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",54,5,1,54.0833333333333,19,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PR_7B",58,2,1,58.0333333333333,20,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",10,50
"7B","7/20/22","PRR_7B",9,42,1,9.7,1,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PRR_7B",20,51,0,20.85,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
